all’	a,l’
abbattersene	abbatter,se,ne
abbattersi	abbatter,si
abbatterti	abbatter,ti
abbattervi	abbatter,vi
abbracciarci	abbracciar,ci
abbracciargli	abbracciar,gli
abbracciargliela	abbracciar,glie,la
abbracciarglieli	abbracciar,glie,li
abbracciarglielo	abbracciar,glie,lo
abbracciargliene	abbracciar,glie,ne
abbracciarl'	abbracciar,l'
abbracciarla	abbracciar,la
abbracciarle	abbracciar,le
abbracciarli	abbracciar,li
abbracciarlo	abbracciar,lo
abbracciarmene	abbracciar,me,ne
abbracciarmi	abbracciar,mi
abbracciarne	abbracciar,ne
abbracciarsela	abbracciar,se,la
abbracciarsele	abbracciar,se,le
abbracciarseli	abbracciar,se,li
abbracciarselo	abbracciar,se,lo
abbracciarsene	abbracciar,se,ne
abbracciarsi	abbracciar,si
abbracciarti	abbracciar,ti
abbracciarvi	abbracciar,vi
abbuffarci	abbuffar,ci
abbuffargli	abbuffar,gli
abbuffargliela	abbuffar,glie,la
abbuffarglieli	abbuffar,glie,li
abbuffarglielo	abbuffar,glie,lo
abbuffargliene	abbuffar,glie,ne
abbuffarl'	abbuffar,l'
abbuffarla	abbuffar,la
abbuffarle	abbuffar,le
abbuffarli	abbuffar,li
abbuffarlo	abbuffar,lo
abbuffarmene	abbuffar,me,ne
abbuffarmi	abbuffar,mi
abbuffarne	abbuffar,ne
abbuffarsela	abbuffar,se,la
abbuffarsele	abbuffar,se,le
abbuffarseli	abbuffar,se,li
abbuffarselo	abbuffar,se,lo
abbuffarsene	abbuffar,se,ne
abbuffarsi	abbuffar,si
abbuffarti	abbuffar,ti
abbuffarvi	abbuffar,vi
abitarci	abitar,ci
abitargli	abitar,gli
abitargliela	abitar,glie,la
abitarglieli	abitar,glie,li
abitarglielo	abitar,glie,lo
abitargliene	abitar,glie,ne
abitarl'	abitar,l'
abitarla	abitar,la
abitarle	abitar,le
abitarli	abitar,li
abitarlo	abitar,lo
abitarmene	abitar,me,ne
abitarmi	abitar,mi
abitarne	abitar,ne
abitarsela	abitar,se,la
abitarsele	abitar,se,le
abitarseli	abitar,se,li
abitarselo	abitar,se,lo
abitarsene	abitar,se,ne
abitarsi	abitar,si
abitarti	abitar,ti
abitarvi	abitar,vi
abituarci	abituar,ci
abituargli	abituar,gli
abituargliela	abituar,glie,la
abituarglieli	abituar,glie,li
abituarglielo	abituar,glie,lo
abituargliene	abituar,glie,ne
abituarl'	abituar,l'
abituarla	abituar,la
abituarle	abituar,le
abituarli	abituar,li
abituarlo	abituar,lo
abituarmene	abituar,me,ne
abituarmi	abituar,mi
abituarne	abituar,ne
abituarsela	abituar,se,la
abituarsele	abituar,se,le
abituarseli	abituar,se,li
abituarselo	abituar,se,lo
abituarsene	abituar,se,ne
abituarsi	abituar,si
abituarti	abituar,ti
abituarvi	abituar,vi
abituatici	abituati,ci
abituatigli	abituati,gli
abituatigliela	abituati,glie,la
abituatiglieli	abituati,glie,li
abituatiglielo	abituati,glie,lo
abituatigliene	abituati,glie,ne
abituatil'	abituati,l'
abituatila	abituati,la
abituatile	abituati,le
abituatili	abituati,li
abituatilo	abituati,lo
abituatimene	abituati,me,ne
abituatimi	abituati,mi
abituatine	abituati,ne
abituatisela	abituati,se,la
abituatisele	abituati,se,le
abituatiseli	abituati,se,li
abituatiselo	abituati,se,lo
abituatisene	abituati,se,ne
abituatisi	abituati,si
abituatiti	abituati,ti
abituativi	abituati,vi
abrogandoci	abrogando,ci
abrogandogli	abrogando,gli
abrogandogliela	abrogando,glie,la
abrogandoglieli	abrogando,glie,li
abrogandoglielo	abrogando,glie,lo
abrogandogliene	abrogando,glie,ne
abrogandol'	abrogando,l'
abrogandola	abrogando,la
abrogandole	abrogando,le
abrogandoli	abrogando,li
abrogandolo	abrogando,lo
abrogandomene	abrogando,me,ne
abrogandomi	abrogando,mi
abrogandone	abrogando,ne
abrogandosela	abrogando,se,la
abrogandosele	abrogando,se,le
abrogandoseli	abrogando,se,li
abrogandoselo	abrogando,se,lo
abrogandosene	abrogando,se,ne
abrogandosi	abrogando,si
abrogandoti	abrogando,ti
abrogandovi	abrogando,vi
accanirci	accanir,ci
accanirgli	accanir,gli
accanirgliela	accanir,glie,la
accanirglieli	accanir,glie,li
accanirglielo	accanir,glie,lo
accanirgliene	accanir,glie,ne
accanirl'	accanir,l'
accanirla	accanir,la
accanirle	accanir,le
accanirli	accanir,li
accanirlo	accanir,lo
accanirmene	accanir,me,ne
accanirmi	accanir,mi
accanirne	accanir,ne
accanirsela	accanir,se,la
accanirsele	accanir,se,le
accanirseli	accanir,se,li
accanirselo	accanir,se,lo
accanirsene	accanir,se,ne
accanirsi	accanir,si
accanirti	accanir,ti
accanirvi	accanir,vi
accentrateci	accentrate,ci
accentrategli	accentrate,gli
accentrategliela	accentrate,glie,la
accentrateglieli	accentrate,glie,li
accentrateglielo	accentrate,glie,lo
accentrategliene	accentrate,glie,ne
accentratel'	accentrate,l'
accentratela	accentrate,la
accentratele	accentrate,le
accentrateli	accentrate,li
accentratelo	accentrate,lo
accentratemene	accentrate,me,ne
accentratemi	accentrate,mi
accentratene	accentrate,ne
accentratesela	accentrate,se,la
accentratesele	accentrate,se,le
accentrateseli	accentrate,se,li
accentrateselo	accentrate,se,lo
accentratesene	accentrate,se,ne
accentratesi	accentrate,si
accentrateti	accentrate,ti
accentratevi	accentrate,vi
accettarci	accettar,ci
accettargli	accettar,gli
accettargliela	accettar,glie,la
accettarglieli	accettar,glie,li
accettarglielo	accettar,glie,lo
accettargliene	accettar,glie,ne
accettarl'	accettar,l'
accettarla	accettar,la
accettarle	accettar,le
accettarli	accettar,li
accettarlo	accettar,lo
accettarmene	accettar,me,ne
accettarmi	accettar,mi
accettarne	accettar,ne
accettarsela	accettar,se,la
accettarsele	accettar,se,le
accettarseli	accettar,se,li
accettarselo	accettar,se,lo
accettarsene	accettar,se,ne
accettarsi	accettar,si
accettarti	accettar,ti
accettarvi	accettar,vi
accoglierci	accoglier,ci
accogliergli	accoglier,gli
accogliergliela	accoglier,glie,la
accoglierglieli	accoglier,glie,li
accoglierglielo	accoglier,glie,lo
accogliergliene	accoglier,glie,ne
accoglierl'	accoglier,l'
accoglierla	accoglier,la
accoglierle	accoglier,le
accoglierli	accoglier,li
accoglierlo	accoglier,lo
accogliermene	accoglier,me,ne
accogliermi	accoglier,mi
accoglierne	accoglier,ne
accogliersela	accoglier,se,la
accogliersele	accoglier,se,le
accoglierseli	accoglier,se,li
accoglierselo	accoglier,se,lo
accogliersene	accoglier,se,ne
accogliersi	accoglier,si
accoglierti	accoglier,ti
accogliervi	accoglier,vi
accomodarci	accomodar,ci
accomodargli	accomodar,gli
accomodargliela	accomodar,glie,la
accomodarglieli	accomodar,glie,li
accomodarglielo	accomodar,glie,lo
accomodargliene	accomodar,glie,ne
accomodarl'	accomodar,l'
accomodarla	accomodar,la
accomodarle	accomodar,le
accomodarli	accomodar,li
accomodarlo	accomodar,lo
accomodarmene	accomodar,me,ne
accomodarmi	accomodar,mi
accomodarne	accomodar,ne
accomodarsela	accomodar,se,la
accomodarsele	accomodar,se,le
accomodarseli	accomodar,se,li
accomodarselo	accomodar,se,lo
accomodarsene	accomodar,se,ne
accomodarsi	accomodar,si
accomodarti	accomodar,ti
accomodarvi	accomodar,vi
accontentarci	accontentar,ci
accontentargli	accontentar,gli
accontentargliela	accontentar,glie,la
accontentarglieli	accontentar,glie,li
accontentarglielo	accontentar,glie,lo
accontentargliene	accontentar,glie,ne
accontentarl'	accontentar,l'
accontentarla	accontentar,la
accontentarle	accontentar,le
accontentarli	accontentar,li
accontentarlo	accontentar,lo
accontentarmene	accontentar,me,ne
accontentarmi	accontentar,mi
accontentarne	accontentar,ne
accontentarsela	accontentar,se,la
accontentarsele	accontentar,se,le
accontentarseli	accontentar,se,li
accontentarselo	accontentar,se,lo
accontentarsene	accontentar,se,ne
accontentarsi	accontentar,si
accontentarti	accontentar,ti
accontentarvi	accontentar,vi
accoppiarci	accoppiar,ci
accoppiargli	accoppiar,gli
accoppiargliela	accoppiar,glie,la
accoppiarglieli	accoppiar,glie,li
accoppiarglielo	accoppiar,glie,lo
accoppiargliene	accoppiar,glie,ne
accoppiarl'	accoppiar,l'
accoppiarla	accoppiar,la
accoppiarle	accoppiar,le
accoppiarli	accoppiar,li
accoppiarlo	accoppiar,lo
accoppiarmene	accoppiar,me,ne
accoppiarmi	accoppiar,mi
accoppiarne	accoppiar,ne
accoppiarsela	accoppiar,se,la
accoppiarsele	accoppiar,se,le
accoppiarseli	accoppiar,se,li
accoppiarselo	accoppiar,se,lo
accoppiarsene	accoppiar,se,ne
accoppiarsi	accoppiar,si
accoppiarti	accoppiar,ti
accoppiarvi	accoppiar,vi
accordandoci	accordando,ci
accordandogli	accordando,gli
accordandogliela	accordando,glie,la
accordandoglieli	accordando,glie,li
accordandoglielo	accordando,glie,lo
accordandogliene	accordando,glie,ne
accordandol'	accordando,l'
accordandola	accordando,la
accordandole	accordando,le
accordandoli	accordando,li
accordandolo	accordando,lo
accordandomene	accordando,me,ne
accordandomi	accordando,mi
accordandone	accordando,ne
accordandosela	accordando,se,la
accordandosele	accordando,se,le
accordandoseli	accordando,se,li
accordandoselo	accordando,se,lo
accordandosene	accordando,se,ne
accordandosi	accordando,si
accordandoti	accordando,ti
accordandovi	accordando,vi
accorgerci	accorger,ci
accorgergli	accorger,gli
accorgergliela	accorger,glie,la
accorgerglieli	accorger,glie,li
accorgerglielo	accorger,glie,lo
accorgergliene	accorger,glie,ne
accorgerl'	accorger,l'
accorgerla	accorger,la
accorgerle	accorger,le
accorgerli	accorger,li
accorgerlo	accorger,lo
accorgermene	accorger,me,ne
accorgermi	accorger,mi
accorgerne	accorger,ne
accorgersela	accorger,se,la
accorgersele	accorger,se,le
accorgerseli	accorger,se,li
accorgerselo	accorger,se,lo
accorgersene	accorger,se,ne
accorgersi	accorger,si
accorgerti	accorger,ti
accorgervi	accorger,vi
accostarci	accostar,ci
accostargli	accostar,gli
accostargliela	accostar,glie,la
accostarglieli	accostar,glie,li
accostarglielo	accostar,glie,lo
accostargliene	accostar,glie,ne
accostarl'	accostar,l'
accostarla	accostar,la
accostarle	accostar,le
accostarli	accostar,li
accostarlo	accostar,lo
accostarmene	accostar,me,ne
accostarmi	accostar,mi
accostarne	accostar,ne
accostarsela	accostar,se,la
accostarsele	accostar,se,le
accostarseli	accostar,se,li
accostarselo	accostar,se,lo
accostarsene	accostar,se,ne
accostarsi	accostar,si
accostarti	accostar,ti
accostarvi	accostar,vi
accreditarci	accreditar,ci
accreditargli	accreditar,gli
accreditargliela	accreditar,glie,la
accreditarglieli	accreditar,glie,li
accreditarglielo	accreditar,glie,lo
accreditargliene	accreditar,glie,ne
accreditarl'	accreditar,l'
accreditarla	accreditar,la
accreditarle	accreditar,le
accreditarli	accreditar,li
accreditarlo	accreditar,lo
accreditarmene	accreditar,me,ne
accreditarmi	accreditar,mi
accreditarne	accreditar,ne
accreditarsela	accreditar,se,la
accreditarsele	accreditar,se,le
accreditarseli	accreditar,se,li
accreditarselo	accreditar,se,lo
accreditarsene	accreditar,se,ne
accreditarsi	accreditar,si
accreditarti	accreditar,ti
accreditarvi	accreditar,vi
accrescerci	accrescer,ci
accrescergli	accrescer,gli
accrescergliela	accrescer,glie,la
accrescerglieli	accrescer,glie,li
accrescerglielo	accrescer,glie,lo
accrescergliene	accrescer,glie,ne
accrescerl'	accrescer,l'
accrescerla	accrescer,la
accrescerle	accrescer,le
accrescerli	accrescer,li
accrescerlo	accrescer,lo
accrescermene	accrescer,me,ne
accrescermi	accrescer,mi
accrescerne	accrescer,ne
accrescersela	accrescer,se,la
accrescersele	accrescer,se,le
accrescerseli	accrescer,se,li
accrescerselo	accrescer,se,lo
accrescersene	accrescer,se,ne
accrescersi	accrescer,si
accrescerti	accrescer,ti
accrescervi	accrescer,vi
accumularci	accumular,ci
accumulargli	accumular,gli
accumulargliela	accumular,glie,la
accumularglieli	accumular,glie,li
accumularglielo	accumular,glie,lo
accumulargliene	accumular,glie,ne
accumularl'	accumular,l'
accumularla	accumular,la
accumularle	accumular,le
accumularli	accumular,li
accumularlo	accumular,lo
accumularmene	accumular,me,ne
accumularmi	accumular,mi
accumularne	accumular,ne
accumularsela	accumular,se,la
accumularsele	accumular,se,le
accumularseli	accumular,se,li
accumularselo	accumular,se,lo
accumularsene	accumular,se,ne
accumularsi	accumular,si
accumularti	accumular,ti
accumularvi	accumular,vi
accusandoci	accusando,ci
accusandogli	accusando,gli
accusandogliela	accusando,glie,la
accusandoglieli	accusando,glie,li
accusandoglielo	accusando,glie,lo
accusandogliene	accusando,glie,ne
accusandol'	accusando,l'
accusandola	accusando,la
accusandole	accusando,le
accusandoli	accusando,li
accusandolo	accusando,lo
accusandomene	accusando,me,ne
accusandomi	accusando,mi
accusandone	accusando,ne
accusandosela	accusando,se,la
accusandosele	accusando,se,le
accusandoseli	accusando,se,li
accusandoselo	accusando,se,lo
accusandosene	accusando,se,ne
accusandosi	accusando,si
accusandoti	accusando,ti
accusandovi	accusando,vi
acquistarci	acquistar,ci
acquistargli	acquistar,gli
acquistargliela	acquistar,glie,la
acquistarglieli	acquistar,glie,li
acquistarglielo	acquistar,glie,lo
acquistargliene	acquistar,glie,ne
acquistarl'	acquistar,l'
acquistarla	acquistar,la
acquistarle	acquistar,le
acquistarli	acquistar,li
acquistarlo	acquistar,lo
acquistarmene	acquistar,me,ne
acquistarmi	acquistar,mi
acquistarne	acquistar,ne
acquistarsela	acquistar,se,la
acquistarsele	acquistar,se,le
acquistarseli	acquistar,se,li
acquistarselo	acquistar,se,lo
acquistarsene	acquistar,se,ne
acquistarsi	acquistar,si
acquistarti	acquistar,ti
acquistarvi	acquistar,vi
adattarci	adattar,ci
adattargli	adattar,gli
adattargliela	adattar,glie,la
adattarglieli	adattar,glie,li
adattarglielo	adattar,glie,lo
adattargliene	adattar,glie,ne
adattarl'	adattar,l'
adattarla	adattar,la
adattarle	adattar,le
adattarli	adattar,li
adattarlo	adattar,lo
adattarmene	adattar,me,ne
adattarmi	adattar,mi
adattarne	adattar,ne
adattarsela	adattar,se,la
adattarsele	adattar,se,le
adattarseli	adattar,se,li
adattarselo	adattar,se,lo
adattarsene	adattar,se,ne
adattarsi	adattar,si
adattarti	adattar,ti
adattarvi	adattar,vi
addolorarci	addolorar,ci
addolorargli	addolorar,gli
addolorargliela	addolorar,glie,la
addolorarglieli	addolorar,glie,li
addolorarglielo	addolorar,glie,lo
addolorargliene	addolorar,glie,ne
addolorarl'	addolorar,l'
addolorarla	addolorar,la
addolorarle	addolorar,le
addolorarli	addolorar,li
addolorarlo	addolorar,lo
addolorarmene	addolorar,me,ne
addolorarmi	addolorar,mi
addolorarne	addolorar,ne
addolorarsela	addolorar,se,la
addolorarsele	addolorar,se,le
addolorarseli	addolorar,se,li
addolorarselo	addolorar,se,lo
addolorarsene	addolorar,se,ne
addolorarsi	addolorar,si
addolorarti	addolorar,ti
addolorarvi	addolorar,vi
adeguarci	adeguar,ci
adeguargli	adeguar,gli
adeguargliela	adeguar,glie,la
adeguarglieli	adeguar,glie,li
adeguarglielo	adeguar,glie,lo
adeguargliene	adeguar,glie,ne
adeguarl'	adeguar,l'
adeguarla	adeguar,la
adeguarle	adeguar,le
adeguarli	adeguar,li
adeguarlo	adeguar,lo
adeguarmene	adeguar,me,ne
adeguarmi	adeguar,mi
adeguarne	adeguar,ne
adeguarsela	adeguar,se,la
adeguarsele	adeguar,se,le
adeguarseli	adeguar,se,li
adeguarselo	adeguar,se,lo
adeguarsene	adeguar,se,ne
adeguarsi	adeguar,si
adeguarti	adeguar,ti
adeguarvi	adeguar,vi
adempierci	adempier,ci
adempiergli	adempier,gli
adempiergliela	adempier,glie,la
adempierglieli	adempier,glie,li
adempierglielo	adempier,glie,lo
adempiergliene	adempier,glie,ne
adempierl'	adempier,l'
adempierla	adempier,la
adempierle	adempier,le
adempierli	adempier,li
adempierlo	adempier,lo
adempiermene	adempier,me,ne
adempiermi	adempier,mi
adempierne	adempier,ne
adempiersela	adempier,se,la
adempiersele	adempier,se,le
adempierseli	adempier,se,li
adempierselo	adempier,se,lo
adempiersene	adempier,se,ne
adempiersi	adempier,si
adempierti	adempier,ti
adempiervi	adempier,vi
aderirci	aderir,ci
aderirgli	aderir,gli
aderirgliela	aderir,glie,la
aderirglieli	aderir,glie,li
aderirglielo	aderir,glie,lo
aderirgliene	aderir,glie,ne
aderirl'	aderir,l'
aderirla	aderir,la
aderirle	aderir,le
aderirli	aderir,li
aderirlo	aderir,lo
aderirmene	aderir,me,ne
aderirmi	aderir,mi
aderirne	aderir,ne
aderirsela	aderir,se,la
aderirsele	aderir,se,le
aderirseli	aderir,se,li
aderirselo	aderir,se,lo
aderirsene	aderir,se,ne
aderirsi	aderir,si
aderirti	aderir,ti
aderirvi	aderir,vi
adoperarci	adoperar,ci
adoperargli	adoperar,gli
adoperargliela	adoperar,glie,la
adoperarglieli	adoperar,glie,li
adoperarglielo	adoperar,glie,lo
adoperargliene	adoperar,glie,ne
adoperarl'	adoperar,l'
adoperarla	adoperar,la
adoperarle	adoperar,le
adoperarli	adoperar,li
adoperarlo	adoperar,lo
adoperarmene	adoperar,me,ne
adoperarmi	adoperar,mi
adoperarne	adoperar,ne
adoperarsela	adoperar,se,la
adoperarsele	adoperar,se,le
adoperarseli	adoperar,se,li
adoperarselo	adoperar,se,lo
adoperarsene	adoperar,se,ne
adoperarsi	adoperar,si
adoperarti	adoperar,ti
adoperarvi	adoperar,vi
adottarci	adottar,ci
adottargli	adottar,gli
adottargliela	adottar,glie,la
adottarglieli	adottar,glie,li
adottarglielo	adottar,glie,lo
adottargliene	adottar,glie,ne
adottarl'	adottar,l'
adottarla	adottar,la
adottarle	adottar,le
adottarli	adottar,li
adottarlo	adottar,lo
adottarmene	adottar,me,ne
adottarmi	adottar,mi
adottarne	adottar,ne
adottarsela	adottar,se,la
adottarsele	adottar,se,le
adottarseli	adottar,se,li
adottarselo	adottar,se,lo
adottarsene	adottar,se,ne
adottarsi	adottar,si
adottarti	adottar,ti
adottarvi	adottar,vi
adunarci	adunar,ci
adunargli	adunar,gli
adunargliela	adunar,glie,la
adunarglieli	adunar,glie,li
adunarglielo	adunar,glie,lo
adunargliene	adunar,glie,ne
adunarl'	adunar,l'
adunarla	adunar,la
adunarle	adunar,le
adunarli	adunar,li
adunarlo	adunar,lo
adunarmene	adunar,me,ne
adunarmi	adunar,mi
adunarne	adunar,ne
adunarsela	adunar,se,la
adunarsele	adunar,se,le
adunarseli	adunar,se,li
adunarselo	adunar,se,lo
adunarsene	adunar,se,ne
adunarsi	adunar,si
adunarti	adunar,ti
adunarvi	adunar,vi
affacciarci	affacciar,ci
affacciargli	affacciar,gli
affacciargliela	affacciar,glie,la
affacciarglieli	affacciar,glie,li
affacciarglielo	affacciar,glie,lo
affacciargliene	affacciar,glie,ne
affacciarl'	affacciar,l'
affacciarla	affacciar,la
affacciarle	affacciar,le
affacciarli	affacciar,li
affacciarlo	affacciar,lo
affacciarmene	affacciar,me,ne
affacciarmi	affacciar,mi
affacciarne	affacciar,ne
affacciarsela	affacciar,se,la
affacciarsele	affacciar,se,le
affacciarseli	affacciar,se,li
affacciarselo	affacciar,se,lo
affacciarsene	affacciar,se,ne
affacciarsi	affacciar,si
affacciarti	affacciar,ti
affacciarvi	affacciar,vi
affermarci	affermar,ci
affermargli	affermar,gli
affermargliela	affermar,glie,la
affermarglieli	affermar,glie,li
affermarglielo	affermar,glie,lo
affermargliene	affermar,glie,ne
affermarl'	affermar,l'
affermarla	affermar,la
affermarle	affermar,le
affermarli	affermar,li
affermarlo	affermar,lo
affermarmene	affermar,me,ne
affermarmi	affermar,mi
affermarne	affermar,ne
affermarsela	affermar,se,la
affermarsele	affermar,se,le
affermarseli	affermar,se,li
affermarselo	affermar,se,lo
affermarsene	affermar,se,ne
affermarsi	affermar,si
affermarti	affermar,ti
affermarvi	affermar,vi
affidarci	affidar,ci
affidargli	affidar,gli
affidargliela	affidar,glie,la
affidarglieli	affidar,glie,li
affidarglielo	affidar,glie,lo
affidargliene	affidar,glie,ne
affidarl'	affidar,l'
affidarla	affidar,la
affidarle	affidar,le
affidarli	affidar,li
affidarlo	affidar,lo
affidarmene	affidar,me,ne
affidarmi	affidar,mi
affidarne	affidar,ne
affidarsela	affidar,se,la
affidarsele	affidar,se,le
affidarseli	affidar,se,li
affidarselo	affidar,se,lo
affidarsene	affidar,se,ne
affidarsi	affidar,si
affidarti	affidar,ti
affidarvi	affidar,vi
affievolirci	affievolir,ci
affievolirgli	affievolir,gli
affievolirgliela	affievolir,glie,la
affievolirglieli	affievolir,glie,li
affievolirglielo	affievolir,glie,lo
affievolirgliene	affievolir,glie,ne
affievolirl'	affievolir,l'
affievolirla	affievolir,la
affievolirle	affievolir,le
affievolirli	affievolir,li
affievolirlo	affievolir,lo
affievolirmene	affievolir,me,ne
affievolirmi	affievolir,mi
affievolirne	affievolir,ne
affievolirsela	affievolir,se,la
affievolirsele	affievolir,se,le
affievolirseli	affievolir,se,li
affievolirselo	affievolir,se,lo
affievolirsene	affievolir,se,ne
affievolirsi	affievolir,si
affievolirti	affievolir,ti
affievolirvi	affievolir,vi
affiliarci	affiliar,ci
affiliargli	affiliar,gli
affiliargliela	affiliar,glie,la
affiliarglieli	affiliar,glie,li
affiliarglielo	affiliar,glie,lo
affiliargliene	affiliar,glie,ne
affiliarl'	affiliar,l'
affiliarla	affiliar,la
affiliarle	affiliar,le
affiliarli	affiliar,li
affiliarlo	affiliar,lo
affiliarmene	affiliar,me,ne
affiliarmi	affiliar,mi
affiliarne	affiliar,ne
affiliarsela	affiliar,se,la
affiliarsele	affiliar,se,le
affiliarseli	affiliar,se,li
affiliarselo	affiliar,se,lo
affiliarsene	affiliar,se,ne
affiliarsi	affiliar,si
affiliarti	affiliar,ti
affiliarvi	affiliar,vi
affrettaci	affretta,ci
affrettagli	affretta,gli
affrettagliela	affretta,glie,la
affrettaglieli	affretta,glie,li
affrettaglielo	affretta,glie,lo
affrettagliene	affretta,glie,ne
affrettal'	affretta,l'
affrettala	affretta,la
affrettale	affretta,le
affrettali	affretta,li
affrettalo	affretta,lo
affrettamene	affretta,me,ne
affrettami	affretta,mi
affrettane	affretta,ne
affrettasela	affretta,se,la
affrettasele	affretta,se,le
affrettaseli	affretta,se,li
affrettaselo	affretta,se,lo
affrettasene	affretta,se,ne
affrettasi	affretta,si
affrettati	affretta,ti
affrettavi	affretta,vi
aggiornaci	aggiorna,ci
aggiornagli	aggiorna,gli
aggiornagliela	aggiorna,glie,la
aggiornaglieli	aggiorna,glie,li
aggiornaglielo	aggiorna,glie,lo
aggiornagliene	aggiorna,glie,ne
aggiornal'	aggiorna,l'
aggiornala	aggiorna,la
aggiornale	aggiorna,le
aggiornali	aggiorna,li
aggiornalo	aggiorna,lo
aggiornamene	aggiorna,me,ne
aggiornami	aggiorna,mi
aggiornane	aggiorna,ne
aggiornasela	aggiorna,se,la
aggiornasele	aggiorna,se,le
aggiornaseli	aggiorna,se,li
aggiornaselo	aggiorna,se,lo
aggiornasene	aggiorna,se,ne
aggiornasi	aggiorna,si
aggiornati	aggiorna,ti
aggiornavi	aggiorna,vi
aggiungerci	aggiunger,ci
aggiungergli	aggiunger,gli
aggiungergliela	aggiunger,glie,la
aggiungerglieli	aggiunger,glie,li
aggiungerglielo	aggiunger,glie,lo
aggiungergliene	aggiunger,glie,ne
aggiungerl'	aggiunger,l'
aggiungerla	aggiunger,la
aggiungerle	aggiunger,le
aggiungerli	aggiunger,li
aggiungerlo	aggiunger,lo
aggiungermene	aggiunger,me,ne
aggiungermi	aggiunger,mi
aggiungerne	aggiunger,ne
aggiungersela	aggiunger,se,la
aggiungersele	aggiunger,se,le
aggiungerseli	aggiunger,se,li
aggiungerselo	aggiunger,se,lo
aggiungersene	aggiunger,se,ne
aggiungersi	aggiunger,si
aggiungerti	aggiunger,ti
aggiungervi	aggiunger,vi
aiutarci	aiutar,ci
aiutargli	aiutar,gli
aiutargliela	aiutar,glie,la
aiutarglieli	aiutar,glie,li
aiutarglielo	aiutar,glie,lo
aiutargliene	aiutar,glie,ne
aiutarl'	aiutar,l'
aiutarla	aiutar,la
aiutarle	aiutar,le
aiutarli	aiutar,li
aiutarlo	aiutar,lo
aiutarmene	aiutar,me,ne
aiutarmi	aiutar,mi
aiutarne	aiutar,ne
aiutarsela	aiutar,se,la
aiutarsele	aiutar,se,le
aiutarseli	aiutar,se,li
aiutarselo	aiutar,se,lo
aiutarsene	aiutar,se,ne
aiutarsi	aiutar,si
aiutarti	aiutar,ti
aiutarvi	aiutar,vi
aiutateci	aiutate,ci
aiutategli	aiutate,gli
aiutategliela	aiutate,glie,la
aiutateglieli	aiutate,glie,li
aiutateglielo	aiutate,glie,lo
aiutategliene	aiutate,glie,ne
aiutatel'	aiutate,l'
aiutatela	aiutate,la
aiutatele	aiutate,le
aiutateli	aiutate,li
aiutatelo	aiutate,lo
aiutatemene	aiutate,me,ne
aiutatemi	aiutate,mi
aiutatene	aiutate,ne
aiutatesela	aiutate,se,la
aiutatesele	aiutate,se,le
aiutateseli	aiutate,se,li
aiutateselo	aiutate,se,lo
aiutatesene	aiutate,se,ne
aiutatesi	aiutate,si
aiutateti	aiutate,ti
aiutatevi	aiutate,vi
allargarci	allargar,ci
allargargli	allargar,gli
allargargliela	allargar,glie,la
allargarglieli	allargar,glie,li
allargarglielo	allargar,glie,lo
allargargliene	allargar,glie,ne
allargarl'	allargar,l'
allargarla	allargar,la
allargarle	allargar,le
allargarli	allargar,li
allargarlo	allargar,lo
allargarmene	allargar,me,ne
allargarmi	allargar,mi
allargarne	allargar,ne
